date,year,value
1971-12-31,1971,15503.854
1972-12-31,1972,16224.597
1973-12-31,1973,17085.094
1974-12-31,1974,17011.072
1975-12-31,1975,17052.752
1976-12-31,1976,17989.111
1977-12-31,1977,18498.635
1978-12-31,1978,19069.291
1979-12-31,1979,19609.02
1980-12-31,1980,19488.523
1981-12-31,1981,19022.902
1982-12-31,1982,18871.098
1983-12-31,1983,18991.91
1984-12-31,1984,19647.801
1985-12-31,1985,20311.902
1986-12-31,1986,20614.963
1987-12-31,1987,21250.074
1988-12-31,1988,22085.131
1989-12-31,1989,22386.637
1990-12-31,1990,22728.988
1991-12-31,1991,23186.102
1992-12-31,1992,22528.172
1993-12-31,1993,22755.787
1994-12-31,1994,22992.947
1995-12-31,1995,23532.084
1996-12-31,1996,24258.168
1997-12-31,1997,24401.906
1998-12-31,1998,24303.777
1999-12-31,1999,24853.729
2000-12-31,2000,25510.553
2001-12-31,2001,25706.293
2002-12-31,2002,26276.869
2003-12-31,2003,27669.49
2004-12-31,2004,28632.506
2005-12-31,2005,29614.395
2006-12-31,2006,30628.396
2007-12-31,2007,31534.645
2008-12-31,2008,32074.199
2009-12-31,2009,31541.922
2010-12-31,2010,33355.902
2011-12-31,2011,34504.539
2012-12-31,2012,35000.02
2013-12-31,2013,35301.656
2014-12-31,2014,35450.094
2015-12-31,2015,35404.898
2016-12-31,2016,35416.656
2017-12-31,2017,35989.898
2018-12-31,2018,36730.426
2019-12-31,2019,37104.273
2020-12-31,2020,35126.527
2021-12-31,2021,36991.734
2022-12-31,2022,37293.836
2023-12-31,2023,37791.57
